사업장명,지번주소,도로명주소,도로명우편번호,소재지우편번호,좌표정보(X),좌표정보(Y),위도,경도
기댈빙,서울특별시 성동구 성수동1가 62,"서울특별시 성동구 성덕정길 47, 1층 (성수동1가, 62)",04774,133-819,204246.08715221,448485.282009823,37.53881109905607,127.04884946725532
아이샤,서울특별시 광진구 구의동 227-41,서울특별시 광진구 구의로 62 (구의동),05033,143-961,207926.487441989,449013.346262157,37.54354517058914,127.09050318747971
서교동의 봄,서울특별시 마포구 서교동 403-22 실버스톤II,"서울특별시 마포구 독막로9길 28, 2층 201-A호 (서교동, 실버스톤II)",04048,121-895,192887.882608075,449692.995265579,37.54967609198594,126.92030635506178
공명 홍대점,서울특별시 마포구 서교동 409-15,"서울특별시 마포구 와우산로17길 11-8, 지하1층,1층 (서교동)",04049,121-895,193042.343575607,449739.720900449,37.55009831267459,126.9220540715779
메가엠지씨커피 월계프라자점,서울특별시 노원구 월계동 776 월계프라자,"서울특별시 노원구 초안산로5길 12, 월계프라자 1층 106호 (월계동)",01868,139-851,204489.998187538,458912.083095685,37.63276471259813,127.05167350814337
정재형의라이브7080,서울특별시 송파구 거여동 36-3 가능빌딩,"서울특별시 송파구 오금로 521, 가능빌딩 2층 (거여동)",05768,138-814,212905.944841572,443445.528109723,37.49331748616482,127.14675726843028
bereum(베름),서울특별시 강남구 대치동 931-22,"서울특별시 강남구 삼성로 325, 지상1층 (대치동)",06203,135-998,205195.896212252,444283.359829764,37.50094275615241,127.05956796493454
모쿠렌,서울특별시 동대문구 장안동 426-4,"서울특별시 동대문구 천호대로83길 81, 1층 (장안동)",02629,130-844,205791.294419853,451480.952328439,37.565796494782624,127.06635893576049
푸키,서울특별시 마포구 서교동 347-12,"서울특별시 마포구 와우산로29바길 24, 지1층 좌측호 (서교동)",04053,121-837,193354.645552963,450360.181095017,37.555691544694035,126.92558304661233
홍주방 송파 마천점,서울특별시 송파구 마천동 307-5,"서울특별시 송파구 마천로57길 12, 1층 (마천동)",05759,138-821,213424.039922307,443622.381480097,37.49490372825391,127.15261977117251
WKA COFFEE(우카커피),서울특별시 송파구 오금동 31-10,"서울특별시 송파구 마천로11길 6, 1층 102호 (오금동)",05655,138-855,211564.909599003,444932.630171203,37.50673552913233,127.13161450523401
(주)투카츠,서울특별시 성동구 성수동1가 13-135,"서울특별시 성동구 상원길 52, 2층 (성수동1가)",04790,133-822,204205.084178091,449596.443563868,37.548823914307405,127.04839183508217
카페 산들림,서울특별시 동대문구 휘경동 43-121,"서울특별시 동대문구 한천로51길 59-2, 1층 (휘경동)",02503,130-874,205793.59336408,453518.272819356,37.58415458216151,127.06640106277922
용용선생 상암점,서울특별시 마포구 상암동 34-34,"서울특별시 마포구 월드컵북로48길 8, 1층 (상암동)",03930,121-830,190603.489476772,452699.007745269,37.57674255551447,126.89441353565483
아이엠씨,서울특별시 마포구 상암동 1293 태림펜트윈,"서울특별시 마포구 성암로13길 25, 203호 (상암동, 태림펜트윈)",03930,121-835,190827.143446737,452750.404281321,37.57720793904147,126.89694507911419
카페 몬데이,서울특별시 마포구 상수동 311-5 B-세바빌딩,"서울특별시 마포구 독막로15길 13-4, B-세바빌딩 1층 (상수동)",04049,121-829,193026.281912537,449580.629885317,37.54866463145779,126.92187379936605
향기카페,서울특별시 은평구 응암동 105-36 반도하우징 1층,"서울특별시 은평구 응암로34길 16, 반도하우징 1층 (응암동)",03464,122-908,193078.149769909,455075.549977448,37.598179225586314,126.9224089378624
기분좋은 돼지,서울특별시 은평구 응암동 749-63,"서울특별시 은평구 응암로12길 23, 1층 (응암동)",03479,122-952,192800.975755585,453907.763086727,37.58765431772727,126.91928137966454
인생건어물,서울특별시 은평구 갈현동 431-9 1층,"서울특별시 은평구 연서로29길 30, 1층 (갈현동)",03330,122-811,192634.234878966,457493.825494944,37.61996649624681,126.91735719436664
백구생(Baekusaeng),서울특별시 마포구 아현동 346-35,"서울특별시 마포구 굴레방로9길 60, 1층 (아현동)",04115,121-859,195721.323137566,450495.80580672,37.55692767634257,126.952370022189
키친 인큐베이터 카페테리아,"서울특별시 마포구 공덕동 370-4 서울창업허브, 서울복지타운","서울특별시 마포구 백범로31길 21, 서울창업허브 키친인큐베이터 3층 (공덕동)",04147,121-804,195509.580070948,449388.269219974,37.546946720207735,126.9499800982949
우라프라우드,서울특별시 마포구 연남동 260-12,"서울특별시 마포구 동교로38길 6, 4층 (연남동)",03982,121-865,193275.468834967,451049.030819852,37.56189814556467,126.92468055341254
이아초밥,서울특별시 마포구 공덕동 478 공덕더샵아파트,"서울특별시 마포구 백범로 170, 102동 1층 2호 (공덕동, 공덕더샵아파트)",04148,121-805,195430.031698112,449126.429101311,37.54458690057464,126.94908144752974
신수서강대점BHC,서울특별시 마포구 신수동 190 성원아파트,"서울특별시 마포구 독막로28길 7, 101동 상가 106호 (신수동, 성원아파트)",04090,121-855,194418.034936832,449400.098708945,37.547047352333394,126.93762655600327
레오띠(LEOTTI),서울특별시 마포구 망원동 396-3 류(버들),"서울특별시 마포구 망원로2길 96, 류(버들) 1층 101호 (망원동)",04017,121-821,191438.037451942,450112.973049712,37.553448158075945,126.90389239239676
이태원 그리들,서울특별시 용산구 이태원동 225-41,"서울특별시 용산구 회나무로 30-1, 1층 (이태원동)",04345,140-857,199048.02818363,448582.516282776,37.53969655759388,126.99002719218531
불향기,서울특별시 강동구 성내동 38-20,"서울특별시 강동구 천호옛14길 10, 1층 (성내동)",05384,134-840,211067.849924256,448212.934070144,37.53630034522462,127.12604151033852
주식회사 스파크펫,서울특별시 강남구 청담동 46 베디베로스퀘어,"서울특별시 강남구 삼성로133길 7, 베디베로스퀘어 지상1층 (청담동)",06068,135-951,204264.723996402,446357.616710484,37.51963866845471,127.0490480141765
주궁,"서울특별시 성동구 도선동 151-1 ,2","서울특별시 성동구 왕십리로24길 8, 지상2층 (도선동)",04709,133-040,202941.700920402,451198.521514065,37.56326503739677,127.03409968224224
명성순대국,서울특별시 동대문구 회기동 346-5,서울특별시 동대문구 이문로 31-2 (회기동),02452,130-050,204882.187748585,454245.501795217,37.59071284500008,127.0560860361309
고끌림,서울특별시 강남구 역삼동 741,"서울특별시 강남구 테헤란로14길 25, 지상1층 (역삼동)",06238,135-924,202937.533779168,443951.915853763,37.49796605174334,127.03402353404994
고도라멘,서울특별시 강북구 번동 446-17,서울특별시 강북구 오패산로77길 4 (번동),01062,142-867,202243.139129586,459443.06079862,37.637557486366916,127.02621731306796
라라브레드 수유점,서울특별시 강북구 수유동 221-20 짐랜드어린이집,"서울특별시 강북구 노해로14길 8, 짐랜드어린이집 1층 (수유동)",01072,142-878,201970.776933656,459674.668986536,37.639645088999586,127.02313176504923
고료리토키,서울특별시 서초구 방배동 925-12 1층,"서울특별시 서초구 효령로31길 78-4, 1층 (방배동)",06682,137-843,199499.857648355,442476.700750793,37.48467736770751,126.99514438737204
마마꼬마김밥&갈비김치찜,서울특별시 강남구 대치동 316 은마아파트,"서울특별시 강남구 삼성로 212, 은마상가비블럭 지상1층 181(일부)호 (대치동, 은마아파트)",06284,135-835,205707.089399978,443914.194133105,37.49761317857404,127.06534692723092
신복관 한우육개장 전문점,서울특별시 강남구 역삼동 830-5,"서울특별시 강남구 역삼로3길 20-5, 지상1층 101호 (역삼동)",06243,135-936,202724.671507956,443659.598086503,37.49533262030471,127.03161497777748
친신마라탕 서대문직영점,서울특별시 서대문구 북가좌동 3-33 성암아파트,"서울특별시 서대문구 증가로20가길 79, 101호 (북가좌동, 성암아파트)",03671,120-810,192868.271626388,453333.250651091,37.58247797502741,126.92004900049238
한우정육소 까치산점,서울특별시 강서구 화곡동 340-8,"서울특별시 강서구 강서로18길 36, 1층 (화곡동)",07756,157-879,186467.718283164,447990.180938398,37.534260263023924,126.84767567412288
일월분식 가든파이브점,서울특별시 송파구 문정동 634 가든파이브라이프,"서울특별시 송파구 충민로 66, 가든파이브라이프 식품관 지하1층 (문정동)",05838,138-960,210986.460698452,441725.293491662,37.47784123159178,127.12502361828501
요노니,서울특별시 송파구 문정동 59-5,"서울특별시 송파구 송파대로16길 11, 102호 (문정동)",05807,138-826,210954.257128519,442517.973177732,37.4849844764248,127.12467128528517
푸른청목장,서울특별시 강동구 천호동 161-35,"서울특별시 강동구 진황도로 60, 1,2층 (천호동)",05339,134-864,211709.138347598,448355.917305247,37.53758084050455,127.13330046047236
밥밥디라라,서울특별시 구로구 고척동 52-196,"서울특별시 구로구 경인로47길 30, 2층 (고척동)",08222,152-824,188119.268107716,444296.472842576,37.50099910871025,126.86642340814478
벨로타벨로타,서울특별시 중구 소공동 1 롯데백화점 본점,"서울특별시 중구 남대문로 81, 롯데백화점 본점 지하1층 (소공동)",04533,100-070,198259.65357739,451392.198218657,37.565013296436454,126.98109903810682
독주,서울특별시 중구 황학동 402,"서울특별시 중구 퇴계로87길 23-16, 1층 101호 (황학동)",04576,100-869,201723.940255995,451600.446443249,37.566889836284496,127.02031573137637
강남돼지상회 명동직영점,서울특별시 중구 을지로2가 199-40 명동아르누보센텀,"서울특별시 중구 명동7길 21, 204,205호 (을지로2가)",04534,100-845,198505.140766586,451381.113105659,37.564913840313864,126.98387800947165
쭈담,서울특별시 중구 다동 155,"서울특별시 중구 남대문로9길 40, 1층 113호 (다동)",04522,100-180,198193.534402364,451650.955791238,37.567344813982956,126.98034992254802
헤이준쌀국수,서울특별시 중구 회현동2가 88 스테이트타워 남산,"서울특별시 중구 퇴계로 100, 스테이트타워 남산 B102호 (회현동2가)",04631,100-052,198420.986981388,450877.874923561,37.56037905614801,126.98292646167856
베지위켄드(veggieweekend),서울특별시 용산구 한남동 72-1 금호리첸시아,"서울특별시 용산구 한남대로 60, 1층 D-101,D-102호 (한남동, 금호리첸시아)",04419,140-779,200628.554655257,448024.720455877,37.53467055400681,127.00791244170986
로스옥 한남점,서울특별시 용산구 한남동 657-201 느티나무한의원,"서울특별시 용산구 한남대로21길 14, 1-2층 (한남동)",04401,140-887,200477.785288312,448010.408774762,37.534541682263786,127.00620639407866
베브릿지 숙명여대점,서울특별시 용산구 청파동2가 71-23,"서울특별시 용산구 청파로47길 48, 1층 (청파동2가)",04309,140-132,197086.437084326,449173.955061131,37.54502187709892,126.96782687518662
아차(ACHA),서울특별시 광진구 구의동 73-20 지하1~지상2층,"서울특별시 광진구 자양로42길 3, 지하1~지상2층 (구의동)",04975,143-819,207944.750719531,449689.668090797,37.549639311060034,127.0907171906912
금수저 함바식당,서울특별시 동대문구 이문동 288-93,"서울특별시 동대문구 휘경로 3-14, 1층 (이문동)",02419,130-830,205324.75655812,454943.44825999,37.59699950120103,127.0611027704699
봉밀가,서울특별시 성동구 성수동1가 656-335 메가박스 스퀘어,"서울특별시 성동구 왕십리로 50, 메가박스 스퀘어 2층 (성수동1가)",04778,133-823,203903.353552789,448846.820248719,37.54207042044758,127.04497295672289
골목알탕,서울특별시 중랑구 묵동 245-79,"서울특별시 중랑구 동일로149가길 29, 1층 (묵동)",02010,131-853,206740.782018954,456184.675408395,37.6081747438135,127.07715065096093
부산어묵,서울특별시 성북구 길음동 1076-1,"서울특별시 성북구 삼양로 16, 1층 (길음동)",02732,136-801,202147.061730711,455827.652673728,37.60497985290306,127.0251180331523
두월,서울특별시 강북구 미아동 48-3,"서울특별시 강북구 월계로 39-1, 1-2층 (미아동)",01222,142-804,202944.818796764,456553.917846198,37.61152191820131,127.03415650402592
한들,서울특별시 은평구 신사동 341-7 1층,"서울특별시 은평구 증산로15가길 9, 1층 (신사동)",03448,122-891,192135.733089772,454166.689941777,37.58998203367351,126.91174568914457
어반써티 연남(urban30 yeonnam),서울특별시 마포구 연남동 227-8,"서울특별시 마포구 동교로46길 40, 지1층 (연남동)",03982,121-865,193454.451393722,451099.558551781,37.56235473589683,126.9267061237156
부대옥 마곡직영점,"서울특별시 강서구 마곡동 773-2 마곡지엠지타워 107,108호","서울특별시 강서구 마곡중앙6로 16, 마곡지엠지타워 1층 107,108호 (마곡동)",07801,157-210,184824.275824197,450916.757855569,37.56060581567612,126.8290188923121
참돔이야기,서울특별시 금천구 가산동 143-6,"서울특별시 금천구 가산로9길 12-8, 가산지웰에스테이트2차 1동 107,108호 (가산동)",08515,153-801,190284.154860389,441702.540500531,37.47765043425205,126.89094347235523
그늘,서울특별시 마포구 서교동 395-69,"서울특별시 마포구 독막로3길 33-3, 지1층 (서교동)",04044,121-840,192604.724549063,449730.502096173,37.55001183567227,126.91710124904064
만선8,서울특별시 중구 을지로3가 95-23,"서울특별시 중구 충무로11길 13, 3층 (을지로3가)",04543,100-846,199194.658168777,451660.453463143,37.56743181590005,126.99168312444291
메종쇼당 돈암점,서울특별시 성북구 동소문동7가 92,"서울특별시 성북구 아리랑로5길 18, 지상1층 (동소문동7가)",02826,136-037,201194.824800368,454938.53842645,37.59696988841588,127.01433136422467
목동닭꼬치1997,서울특별시 양천구 목동 727-31,"서울특별시 양천구 목동중앙남로 39, 1층 (목동)",07958,158-814,188145.32312096,448345.111437838,37.53748161013064,126.86665280590061
카페650,서울특별시 강서구 공항동 650-3 101호,"서울특별시 강서구 남부순환로11가길 109, 1층 101호 (공항동)",07624,157-818,183432.378216183,450716.999806612,37.55878184427754,126.81326793894108
소문난육회집,서울특별시 강북구 수유동 186-5,"서울특별시 강북구 삼각산로 151, 1층 (수유동)",01043,142-877,201776.471600387,459921.136797017,37.64186635985881,127.02093060280043
페리카나 신정2점,서울특별시 양천구 신정동 336 청구아파트,"서울특별시 양천구 신목로2길 11, 상가동 1층 103호 (신정동, 청구아파트)",08015,158-783,188934.319090374,446320.477875484,37.519247521221544,126.87561153561965
안집 주물구이,서울특별시 강북구 미아동 1357-10,"서울특별시 강북구 삼양로19길 138, 1층 (미아동)",01197,142-100,201333.309316392,457138.34427177,37.61679184539069,127.01590370582547
더 깨끗한푸드,서울특별시 강북구 미아동 375-7 솔샘빌딩,"서울특별시 강북구 솔샘로 318, 솔샘빌딩 2층 203호 (미아동)",01204,142-805,202329.075094782,457196.84893976,37.6173170391139,127.02718390946553
명촌 내가 국수다,서울특별시 금천구 시흥동 954-29,"서울특별시 금천구 시흥대로20길 17, 1층 일부호 (시흥동)",08652,153-861,191451.058331131,437674.901694125,37.44136861191965,126.90418427296322
푸드나무,서울특별시 영등포구 신길동 319-38,"서울특별시 영등포구 가마산로67길 5, 1층 (신길동)",07387,150-841,191721.741226451,444913.176230024,37.50659554898067,126.907162050287
닭도리마켓,서울특별시 영등포구 당산동1가 171,"서울특별시 영등포구 영신로43길 7, 1층 (당산동1가)",07267,150-800,191146.349064095,446662.721040729,37.522355340642115,126.90063255166858
사랑이 도시락,서울특별시 관악구 신림동 493-21 희전빌딩,"서울특별시 관악구 조원로 141, 희전빌딩 지1층 2호 (신림동)",08705,151-871,192668.29867457,442614.42619047,37.485889464317836,126.91789174677129
오시요 식당,서울특별시 관악구 신림동 725-5,"서울특별시 관악구 난곡로35나길 21, 1층 21호 (신림동)",08858,151-881,192647.309489811,441269.331675559,37.473768588002585,126.91766782624933
두미에뜨,서울특별시 서초구 반포동 107-34,"서울특별시 서초구 사평대로18길 30, 102호 (반포동)",06575,137-806,199620.376812687,443993.683384817,37.49834701385176,126.9965064363874
솔,서울특별시 서초구 반포동 90-3 반포4동근린빌딩,"서울특별시 서초구 서래로6길 10, 1층 (반포동)",06577,137-805,199830.637904087,443942.585153551,37.497886628734946,126.99888451513883
뷰티스파클,서울특별시 서초구 서초동 1302-1 서초오피스텔 지하1층 9호,"서울특별시 서초구 서운로 226, 지하1층 B109호 (서초동)",06609,137-855,201853.889908967,444549.812390159,37.50335652271812,127.02176901948658
육구공,서울특별시 강남구 신사동 540-9,"서울특별시 강남구 도산대로15길 16, 지상2층 (신사동)",06036,135-889,202052.821106247,446342.979504268,37.5195143438545,127.02402410077038
꽃보다 족발,서울특별시 강북구 수유동 192-54,"서울특별시 강북구 도봉로87길 26-3, 1층 (수유동)",01072,142-878,202089.043293747,459628.503136754,37.63922883593803,127.02447176259096
정원 고깃집,서울특별시 종로구 재동 9번지 ,서울특별시 종로구 북촌로5길 6 (재동),03055,110250,198568.866194416,453025.986591057,37.579735756366226,126.98459617814062
불불이 시흥본점,서울특별시 금천구 시흥동 124-10,"서울특별시 금천구 시흥대로71길 44, 103호 (시흥동)",08614,153-839,191031.986587614,439209.588198806,37.455193844210925,126.89942948837407
비에이치씨 보라매타운점,서울특별시 동작구 신대방동 395-66 보라매삼성쉐르빌,"서울특별시 동작구 보라매로5길 43, 상가동 지하1층 106-1, 106-2호 (신대방동, 보라매삼성쉐르빌)",07071,156-728,193153.177033349,443251.121433059,37.49163046740951,126.92336891562427
애시드 하우스(Acid House),서울특별시 강남구 신사동 507-3 GPX빌딩,"서울특별시 강남구 강남대로162길 18, GPX빌딩 지상1층 (신사동)",06027,135-887,201703.283181154,446411.450204256,37.52013204431658,127.02006984592134
꺼벙이분식,서울특별시 강남구 삼성동 142-3 LG 선릉에클라트 B,"서울특별시 강남구 테헤란로63길 12, B동 지상1층 103,104호 (삼성동, LG 선릉에클라트 B)",06160,135-876,204433.34140241,444884.617513,37.50636467479629,127.05094674784081
피그커피(Fig Coffee),서울특별시 서초구 서초동 1640-8 1층,"서울특별시 서초구 사임당로17길 123, 1층 (서초동)",06632,137-880,201637.516510302,443495.624138964,37.493857612851166,127.01931931242198
로샤스토리,서울특별시 강서구 화곡동 61-13,"서울특별시 강서구 까치산로 40-1, 1층 좌측호 (화곡동)",07722,157-871,186204.589460997,448977.40876554,37.543152208700086,126.84467970775532
잠실뷔페,서울특별시 송파구 신천동 7 장미아파트,"서울특별시 송파구 올림픽로35길 104, B상가동 지하층 7-3,8호 (신천동, 장미아파트)",05504,138-934,208707.089897534,446299.352775446,37.5190824308864,127.09930500001178
삼평식당,서울특별시 마포구 서교동 351-27,"서울특별시 마포구 동교로 164, 1층 (서교동)",04031,121-838,192875.91209239,450384.525034717,37.555907330066,126.9201641616057
마라탕전문점 샹츠마라 신촌점,서울특별시 서대문구 창천동 46-12 우석빌딩 2층,"서울특별시 서대문구 연세로12길 20, 우석빌딩 2층 (창천동)",03776,120-834,194463.414639006,450737.013392269,37.559094482833956,126.9381300499555
마코,서울특별시 노원구 공릉동 411-5,"서울특별시 노원구 공릉로 165, 지상5층 502호 (공릉동)",01835,139-804,206943.526138135,458051.469220935,37.624994614541684,127.07946478542063
바르다죽선생 은평점,서울특별시 은평구 불광동 494,"서울특별시 은평구 통일로 928, 1층 103호 (불광동)",03340,122-869,192898.360712799,458152.899467895,37.62590737699068,126.92034293125799
피그인더가든 선릉점,서울특별시 강남구 대치동 891 삼성생명 대치타워,"서울특별시 강남구 테헤란로 424, 삼성생명 대치타워 지상1층 (대치동)",06194,135-840,204667.826911906,444804.096924877,37.50563794704173,127.05359856612819
Belebt(베레프트),서울특별시 강서구 방화동 813-7,"서울특별시 강서구 금낭화로 286, 1층 (방화동)",07515,157-856,183265.686467178,452656.191591747,37.57625264351487,126.81133687891358
골드바,서울특별시 관악구 신림동 1432-128,"서울특별시 관악구 신림동5길 49, 3층 (신림동)",08760,151-892,193551.428748273,442542.000104658,37.4852434157069,126.92787897365552
디어 마이 테이블(Dear my table),서울특별시 마포구 성산동 52-17,"서울특별시 마포구 월드컵북로 118, 2층 201호 (성산동)",03973,121-843,192288.440128004,451273.789376799,37.56391569480409,126.9135053661662
즉떡112,서울특별시 영등포구 여의도동 53-11 상아빌딩,"서울특별시 영등포구 국제금융로 112, 상아빌딩 2층 1호, 6호 (여의도동)",07343,150-895,194084.264051974,446244.454386931,37.51860985704075,126.9338745470873
가마치통닭 신길점,서울특별시 영등포구 신길동 4936,"서울특별시 영등포구 가마산로79길 46, 1층 (신길동)",07350,150-857,192702.306288108,445115.514647066,37.50842709276286,126.91825150654442
두마리찜닭 두찜 도봉쌍문점,서울특별시 도봉구 쌍문동 44-1,"서울특별시 도봉구 도봉로133길 41, 1층 (쌍문동)",01394,132-859,203223.424388994,461709.631397514,37.65797818086786,127.03733505931768
타이완벤땅 강남점,서울특별시 강남구 역삼동 735-17 역삼 푸르지오 시티,"서울특별시 강남구 논현로85길 52, 역삼 푸르지오 시티 지하1층 B103호 (역삼동)",06235,135-923,202905.303175817,443996.984822547,37.498372271382436,127.03365918363724
커피앳웍스 이마빌딩광화문점,서울특별시 종로구 수송동 146-1 이마빌딩,"서울특별시 종로구 종로1길 42, 이마빌딩 1층 (수송동)",03152,110-755,198076.878950513,452402.195269511,37.57411393440459,126.97902735514248
기와옥순두부,서울특별시 양천구 신정동 323-24,"서울특별시 양천구 목동서로 375, 104호 (신정동)",08093,158-070,187767.19887755,446044.299329303,37.516744151324616,126.86241227934396
큐슈울트라아멘 강서NC점,서울특별시 강서구 등촌동 689 9층,"서울특별시 강서구 강서로56길 17, 엔씨백화점 9층 (등촌동)",07584,157-930,185824.428508883,450866.252126246,37.56016664244163,126.84034102142633
르프리크(LE FREAK),서울특별시 성동구 성수동2가 302-8 블루스톤타워,"서울특별시 성동구 연무장5길 9-16, 지하1층 B103호 (성수동2가)",04782,133-835,204585.311976807,449123.994692193,37.54456488804677,127.05269218231163
오드스테어(O'DE STAIR),서울특별시 용산구 이태원동 455-1 그린빌라트,"서울특별시 용산구 녹사평대로40다길 2, 3층 (이태원동, 그린빌라트)",04351,140-861,198912.031550899,448080.015604177,37.53516838953983,126.98848895665493
마구로포차,"서울특별시 구로구 고척동 94-8 장미상가 1층 105호, 113호 (고척동 92-11)","서울특별시 구로구 경서로 6, 장미상가 1층 105, 113호 (고척동)",08226,152-827,187278.27157367,444008.225998653,37.498390514210726,126.85691635756291
카츠클럽 신사점,서울특별시 강남구 신사동 541-13,"서울특별시 강남구 도산대로15길 9, 지상2층 (신사동)",06036,135-889,202033.707771684,446296.897502018,37.519099141467294,127.02380773914628
푸드 오 코치(Food oh kochi),서울특별시 영등포구 영등포동8가 91 당산 푸르지오,"서울특별시 영등포구 영중로 154, 상가동 1층 101,102호 (영등포동8가, 당산 푸르지오)",07226,150-038,191651.788885738,447538.877092648,37.53025507050889,126.90634097865238
피자글릭,서울특별시 성북구 길음동 1170-1 지상1층,"서울특별시 성북구 삼양로 73-1, 나래빌딩 1층 (길음동)",02724,136-807,201921.604935631,456367.715625106,37.609846783615026,127.02256588444689
미손 닭한마리 칼국수,서울특별시 구로구 오류동 156 세명프라자,"서울특별시 구로구 오류로8길 16, 세명프라자 109호 (오류동)",08343,152-897,185924.416468235,443212.428774109,37.491199944776305,126.84161943323967
김치한끼,서울특별시 양천구 신정동 977-16,서울특별시 양천구 신월로 321 (신정동),08027,158-860,187244.552928692,446626.599997855,37.52198416827173,126.85648958132036
슬로우먼데이(SLOW MONDAY),서울특별시 서초구 양재동 220-3 동성빌딩 1층1호,"서울특별시 서초구 매헌로1길 38, 1층 1호 (양재동, 동성빌딩)",06772,137-893,202936.880715293,439981.934357936,37.462192334844005,127.03400031642126
플레이온 보드게임카페(충무로점),서울특별시 중구 필동2가 53,"서울특별시 중구 퇴계로 226, 3층 (필동2가)",04624,100-272,199652.596554208,451038.891443622,37.56183125248916,126.99686751225381
파스쿠찌 센트로양재점,서울특별시 서초구 서초동 1366-5,"서울특별시 서초구 강남대로 241, 1,2층 (서초동)",06735,137-863,202861.831350756,442534.348576952,37.48519253841389,127.03316182737382
시선 구로디지털단지점,서울특별시 구로구 구로동 1124-40,"서울특별시 구로구 디지털로32나길 26, 1층 (구로동)",08391,152-880,191161.789416897,442448.098422604,37.48437749643429,126.90085787589382
모서리,서울특별시 강동구 길동 381-11,"서울특별시 강동구 천중로40길 50, 1층 102호 (길동)",05341,134-813,212117.382310052,448524.52997039,37.53909492568169,127.13792291428547
지원(G1),서울특별시 마포구 서교동 364-26 지1층,"서울특별시 마포구 와우산로21길 31 (서교동, 지1층)",04041,121-893,193048.597980722,450001.931077355,37.55246111970777,126.9221223744461
푸라닭 명일점,서울특별시 강동구 명일동 312-117,"서울특별시 강동구 고덕로38길 26, 1층 (명일동)",05257,134-830,212532.992779846,450142.402577988,37.55366790303929,127.14265366192886
도누각 서대문역점,서울특별시 중구 의주로1가 32-2 바비엥-1,"서울특별시 중구 통일로 102, 바비엥-1 203,204,205호 (의주로1가)",04517,100-141,197144.128731285,451340.354322577,37.56454335245268,126.96847134613002
라그릴리아 신도림디큐브시티점,서울특별시 구로구 신도림동 692 2층 201호,"서울특별시 구로구 경인로 662, 2층 201호 (신도림동)",08209,152-888,190107.045415333,445157.626366229,37.508782398435066,126.88889446682775
라그릴리아 공덕점,서울특별시 마포구 도화동 25-13 A블럭2층2호,"서울특별시 마포구 마포대로 92 (도화동, A블럭2층2호)",04168,121-812,195616.580723896,448973.867131637,37.54321307728018,126.95119354205369
비에이치씨 가양역점,"서울특별시 강서구 등촌동 707-1 3동, 8단지상가 107호","서울특별시 강서구 화곡로69길 71, 1층 107호 (등촌동, 3동, 8단지상가)",07576,157-930,186775.49349071,451077.668818105,37.56208583720167,126.85110266091792
에피세리 꼴라주,서울특별시 용산구 한남동 31-3,"서울특별시 용산구 한남대로20길 47-24, 1층 (한남동)",04419,140-885,200821.875716478,448130.52389849,37.53562379383564,127.01010009424091
냥덕피자,서울특별시 중랑구 면목동 119-16 1층,"서울특별시 중랑구 면목로73길 31, 1층 (면목동)",02145,131-816,207493.726863866,454029.833285944,37.588751925990344,127.08565695011747
대박삼겹살,서울특별시 중랑구 묵동 249-108,"서울특별시 중랑구 동일로143길 34, 1층 (묵동)",02012,131-853,206699.460286727,455880.540124788,37.60543452684835,127.07667982945944
지리산 흑돼지,서울특별시 종로구 숭인동 1375번지 ,서울특별시 종로구 난계로29길 14 (숭인동),03116,110828,201905.282909761,452478.636909053,37.574802780310556,127.02237088877791
원효숯불갈비,서울특별시 영등포구 영등포동7가 65-7 지상1층(전체),"서울특별시 영등포구 영중로 99 (영등포동7가,지상1층(전체))",07245,150-037,191546.657546346,447003.846444233,37.525432967744486,126.90515758720474
또봉이통닭(후암점),서울특별시 용산구 후암동 236-17 (지상1층),"서울특별시 용산구 후암로 19 (후암동,(지상1층))",04335,140-901,197969.82431593,449489.581742519,37.54786834296776,126.97782339571765
너네집밥,서울특별시 송파구 문정동 85 어은회관,"서울특별시 송파구 새말로 125, 어은회관 1층 108호 (문정동)",05809,138-200,211255.759612505,442338.115571068,37.48336015094703,127.1280779333991
본죽 앤 비빔밥,서울특별시 성북구 장위동 316-3 센트럴타운 1층 113호,"서울특별시 성북구 월계로40길 7 (장위동,센트럴타운 1층 113호)",02759,136-140,204208.631200867,457844.348010616,37.62314486778736,127.04847936017711
그리드,서울특별시 성북구 보문동7가 28 지하1층,"서울특별시 성북구 보문로13길 8 (보문동7가,지하1층)",02873,136-087,201839.773351352,453106.531159636,37.58046080987482,127.02163079063455
향기커피호프,서울특별시 구로구 구로동 720-6 1층,"서울특별시 구로구 구로동로15길 10, 1층 (구로동)",08318,152-871,189691.799208641,442866.228075524,37.488130044297854,126.88422946166756
상구네 솥뚜껑삼겹살,서울특별시 은평구 응암동 599-82,"서울특별시 은평구 응암로11길 16, 1층 2호 (응암동)",03485,122-924,192445.399473199,454076.545828336,37.58917234953242,126.91525325181874
라그릴리아 강남스퀘어점,서울특별시 강남구 역삼동 831-23 3층,"서울특별시 강남구 강남대로 352, 3층 (역삼동)",06242,135-936,202570.60244492,443575.08334015,37.4945714968655,127.02987222144247
깐부치킨,서울특별시 서초구 양재동 280 효정빌딩 1층,"서울특별시 서초구 언남길 82 (양재동,효정빌딩 1층)",06782,137-895,203976.509189755,441445.878001941,37.475380147742676,127.0457608170147
