name,category,city,district,parcelAddress,roadAddress,roadPostal,districtPostal,latitude,longitude,xCoordinate,yCoordinate
장보고 곰탕,한식,서울특별시,도봉구,서울특별시 도봉구 창동 1-10 농협창동유통센타,"서울특별시 도봉구 마들로11길 20, 농협창동유통센타 지하1층 (창동)",1413,132-898,37.65499027730770,127.0508229754800,204413.616574592,461378.588676784
홍콩밀크컴퍼니,기타,서울특별시,종로구,서울특별시 종로구 창신동 23-729,"서울특별시 종로구 창신12길 53, 1층, 2층 (창신동)",3091,110-837,37.57806048406770,127.01145525061100,200941.100878782,452840.000443871
PCMC 하이볼,한식,서울특별시,중구,서울특별시 중구 신당동 113-7,"서울특별시 중구 다산로40길 23, 101호 (신당동, 하이아파트)",4585,100-819,37.56416287256570,127.0173924848780,201465.765990491,451297.768237861
토마토도시락 중계은행사거리점,한식,서울특별시,노원구,서울특별시 노원구 중계동 366-6 중계그랜드프라자,"서울특별시 노원구 한글비석로 264, 중계그랜드프라자 103호 (중계동)",1720,139-861,37.65118779729260,127.07718621354600,206740.036180531,460958.164371423
홍휘즈 키친(HHwiz Kitchen),기타,서울특별시,은평구,서울특별시 은평구 구산동 210-1,"서울특별시 은평구 서오릉로15길 15-14, 1층 (구산동)",3426,122-823,37.613647938521500,126.91045082344400,192023.912234469,456793.172845036
(주)모트,경양식,서울특별시,용산구,서울특별시 용산구 한남동 684-51,"서울특별시 용산구 이태원로54길 74, 3층 (한남동)",4400,140-891,37.53545684379060,127.00098725570100,200016.548354472,448111.955856796
마라홀릭마라탕 숙대점,"외국음식전문점(인도,태국등)",서울특별시,용산구,서울특별시 용산구 청파동2가 71-8,"서울특별시 용산구 청파로47길 34, 1층 (청파동2가)",4309,140-132,37.545049430244600,126.96850354535700,197146.229894761,449176.992045844
계경목장,분식,서울특별시,종로구,"서울특별시 종로구 적선동 156 광화문플래티넘지하101,102호","서울특별시 종로구 새문안로5가길 28 (적선동,광화문플래티넘지하101,102호)",3170,110-052,37.574634168068200,126.97357339210500,197595.161312175,452460.054621887
빌라.1990(Villa.1990),기타,서울특별시,성동구,서울특별시 성동구 성수동1가 314,"서울특별시 성동구 둘레9길 17, 2층 (성수동1가)",4775,133-820,37.53785143112120,127.0510137540560,204437.400064185,448378.881932439
"숲,성수",기타,서울특별시,성동구,서울특별시 성동구 성수동1가 656-1683 성수동 아파트형 공장 두앤캔 하우스,"서울특별시 성동구 아차산로 3, 성수동 아파트형 공장 두앤캔 하우스 1층 103호 (성수동1가)",4789,133-924,37.54856028369750,127.04541362471100,203941.95153715,449567.05782932
오티알:(OTR:),호프/통닭,서울특별시,강남구,서울특별시 강남구 논현동 217-39,"서울특별시 강남구 언주로125길 11, 지상1층 101호 (논현동)",6106,135-829,37.51304899407280,127.03439543948100,202969.819092284,445625.761107316
아쿠아 디 파르마 옐로우 카페,기타,서울특별시,송파구,서울특별시 송파구 신천동 29 롯데월드타워앤드롯데월드몰,"서울특별시 송파구 올림픽로 300, 롯데월드타워앤드롯데월드몰 지하1층 (신천동)",5551,138-934,37.5132979480792,127.10345819134400,209074.900840074,445657.80932984
한잔해 추억,한식,서울특별시,용산구,서울특별시 용산구 이태원동 99-4,"서울특별시 용산구 보광로 106, 1층 (이태원동)",4406,140-863,37.532454594233700,126.99489072314800,199477.758338753,447778.795205918
고려향,중국식,서울특별시,강남구,서울특별시 강남구 역삼동 708-25,"서울특별시 강남구 선릉로89길 7, 지상2층 (역삼동)",6212,135-919,37.503637054021000,127.04879765320400,204243.5,444581.82
꽃보다 김밥,한식,서울특별시,금천구,서울특별시 금천구 시흥동 1013 벽산5단지아파트,"서울특별시 금천구 금하로 816, 상가1동 B08호 (시흥동, 벽산5단지아파트)",8646,153-030,37.44846025236430,126.91876977051700,192742.326147617,438460.667319682
1키로 탕수육,중국식,서울특별시,성동구,서울특별시 성동구 행당동 300-14 건강약국,"서울특별시 성동구 왕십리로21길 46, 1층 (행당동)",4714,133-868,37.559676789381600,127.0301907588600,202596.510324198,450800.195788971
요커(yo.kr) 건대점,기타,서울특별시,광진구,서울특별시 광진구 화양동 12-35 1층,"서울특별시 광진구 능동로13길 34, 1층 (화양동)",5011,143-914,37.543700842629900,127.07054955990000,206163.302033642,449029.127087482
꾸러기상사,한식,서울특별시,광진구,서울특별시 광진구 화양동 36-59 1층,"서울특별시 광진구 동일로24길 29, 1층 (화양동)",5015,143-917,37.54389368986010,127.06686852099300,205838.018172316,449050.293578851
역전우동0410  제기동역점,기타,서울특별시,동대문구,서울특별시 동대문구 용두동 104-3 동대문 푸르지오시티,"서울특별시 동대문구 왕산로 86, 102동 102호 (용두동, 동대문 푸르지오시티)",2585,130-820,37.57797525923910,127.03277205832900,202823.862895668,452830.969596842
